%_of_train_set    max_entropy                  min_entropy 
10                 0.0038837327                 0.0038452535
20                 0.0039033894                 0.0038452535
30                 0.0039314413                 0.0038452535
40                 0.003972178                 0.0038452535
50                 0.004048569                 0.0038452535
60                 0.004286835                 0.0038452535
70                 0.014389089                 0.0038452535
80                 0.112446696                 0.0038452535
90                 0.11453794                 0.0038452535
100                 0.99188757                 0.0038452535
